split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
val_vis,5,-1,0.85378401,2.3485169,,,,,,10183.44,80,74,both,,,,
val_novis,5,10,7.679771,2164.1241,240,6810.271,0.035240889,9.8386647e-05,1.9677329e-05,10183.44,0,0,none,,,,
val_novis,5,20,7.9211706,2754.9942,112,3190.0613,0.035109043,9.8386647e-05,1.9677329e-05,10183.44,0,0,none,,,,
val_novis,5,-1,7.7998703,2440.2855,,,,,,10183.44,0,0,none,,,,
train_summary,5,-1,0.933929,2.5444868,,,,,,,,,both,,,,
val_summary,5,-1,,,,,,,,,,,,2.3485169,2440.2855,,
test_vis,6,10,0.79842908,2.2220475,128,2876.5668,0.04449749,9.8386647e-05,1.9677329e-05,10183.44,40,34,both,,,,
test_vis,6,20,0.72630709,2.0674317,104,2405.5081,0.04323411,9.8386647e-05,1.9677329e-05,10183.44,80,70,both,,,,
test_vis,6,-1,0.76245801,2.1435386,,,,,,10183.44,80,70,both,,,,
test_novis,6,10,7.6679554,2138.7043,128,3858.4112,0.033174276,9.8386647e-05,1.9677329e-05,10183.44,0,0,none,,,,
test_novis,6,20,8.2335667,3765.2392,104,3128.5511,0.033242226,9.8386647e-05,1.9677329e-05,10183.44,0,0,none,,,,
test_novis,6,-1,7.9500558,2835.7332,,,,,,10183.44,0,0,none,,,,
test_summary,6,-1,,,,,,,,,,,,,,2.1435386,2835.7332
